filled_paraphrased_canonical	masked_sparql_query
Какая максимальная ширина места, где расположена Великовечное?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
супруга Александр Аверманович Ливер когда начала творчество?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:work_period_start ?x0 . }
Сколько времени минимум уходит на просмотр фильма, в котором режиссер и актер одновременно Мэтт Бомер?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Глубина Вязьма?	select distinct ?x0 where { SUBJ_1 dr:depth ?x0 . }
какова плотность населения  Афганистан	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Сколько составляет суммарная протяжённость притоков Королевство Гвинед?	select distinct ?x0 where { SUBJ_1 dr:river_inflows ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Когда был заложен город, являющийся родиной Стивен Грэм?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:date_foundation ?x0 . }
Дата образования страны гражданкой которой является Захаров Павел Васильевич 	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Кто являются родителями Адетокунбо Яннис?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Какая площадь страны, в которой Гаджи Наврузов имеет гражданство?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Какое настоящее полное имя у директора Slack?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:real_full_name ?x0 . }
Какова цифра рабочих мест в государстве, где расположен Петров вал?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:count_works ?x0 . }
Какаяплощадь места,где развивается сюжет Молчание ягнят?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Сколько времени идёт фильм, в котором актёр и режиссёр Жюльет Бинош?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Какие ещё произведения написал автор Священное Писание и Стрелок?	select ?x0 where { ?x0 dr:wrote OBJ_1 . ?x0 dr:wrote OBJ_1 . }
Какое количество стран омывается водоемами Рассоха?	select count ( distinct ?x0 ) where { ?x0 dr:wash OBJ_1 . }
Сколько всего наименований имеет самый лёгкий национал социализм?	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?dummy . ?dummy dr:alias ?x0 . }
Какая длина реки Ахметский муниципалитет?	select distinct ?x0 where { SUBJ_1 dr:length ?x0 . }
суммарное время существования страны, на территории которой расположен центральный офис Nordwind Airlines?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Сколько лет государству входящему в государственный переворот? 	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
Когда день рождения человека, творчеством которого был вдохновлён Робинсон Рэймонд?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:birth_day ?x0 . }
Кто искал источник вдохновения в творчестве Ани Лорак?	select distinct ?x0 where { ?x0 dr:influenced_by OBJ_1 . }
валентность Пентафосфид самария какова	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
Значение суммарное границ протяженности страны,к которому близка Одесские лиманы 	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Мать Андрей Константинович Воронцевич	select distinct ?x0 where { SUBJ_1 dr:mother ?x0 . }
Сколько государств соседей у страны, столицей которой является Фаришский район?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Какому числу равно значение валентности Гидрокарбонат рубидия	select distinct ?x0 where { SUBJ_1 dr:valence ?x0 . }
В каком году была основана страна, которая граничит с Российская империя?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
У какой реки притоки называются Храм Святого Станислава Санкт Петербург и Первая Испанская Республика?	select ?x0 where { ?x0 dr:river_inflows OBJ_1 . ?x0 dr:river_inflows OBJ_1 . }
Какая средняя протяжённость притотков Вулкан Кропоткина? 	select distinct ?x0 where { SUBJ_1 dr:river_inflows ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Что находится на границе с Германия? 	select distinct ?x0 where { ?x0 dr:borders_country OBJ_1 . }
Вдохновение Muse. 	select distinct ?x0 where { ?x0 dr:influenced_by OBJ_1 . }
Плотность населения города, в котором родилась Безотечество Борис Викторович?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Какое минимальное значение площади страны, которая является родиной Мясников Вячеслав Владимирович?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Какие год, число и месяц рождения родительницы Дмитрий Алексеевич Хлестов? 	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:birth_day ?x0 . }
Количество свадеб  человека, основавшего компанию Ram Trucks?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:marriage_count ?x0 . }
Какая страна с общей протяженностью границ, наиболее близко расположена к Мэлл	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Чему равна площадь города, в котором была создана компания Ru Center?	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:area ?x0 . }
В какое время появился Capcom? 	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_inception_date ?x0 . }
Сколько раз выходила замуж мать Роберт Арамайо?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:marriage_count ?x0 . }
Харьковская государственная академия дизайна и искусств, где находится	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Сколько у Со притоков	select distinct ?x0 where { SUBJ_1 dr:river_inflows ?x0 . }
какая площадь у Княжество Трансильвания	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Суммарная длительность фильма, режиссёром и актёром в котором был Ольга Воронец?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Сколько всего наименований имеет самый лёгкий либерализм?	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?dummy . ?dummy dr:alias ?x0 . }
Сколько метров в высоту над уровнем моря у города, в котором была основана компания Алмаз Антей? 	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:elevation ?x0 . }
 Сколько времени существует страна, граничащая с Швейцария?	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:period_country ?x0 . }
Можно узнать как назван твиттер у мужа Лоран де Гувион Сен Сир?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
Кто управляет Железнодорожная линия Обская Бованенково Карская правовым образом? 	select distinct ?x0 where { SUBJ_1 dr:political_own ?x0 . }
Какова территориальная ширина места, где расположен Чигирин?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:width ?x0 . }
Сколько составляет ширина страны, в юрисдикции которой находится Молдаванское?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:width ?x0 . }
Назовите минимальную площадь того места, в котором происходит сюжет Криптономикон? 	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Какова минимальная плотность населения в месте, где в текущий момент живёт Сергей Станиславович Бехтерев?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Как прозвали родственника Луис Джо?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:nickname ?x0 . }
Какая ширина озёра в который в падает Тюрьма на Лонцкого	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:width ?x0 . }
Если сложить все глубины водоемов, омывающих Украина, то какая глубина получится в сумме?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Когда был заложен город, являющийся родиной Вавел Рамкалаван?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:date_foundation ?x0 . }
Женат ли тот, кто убил Бейн?	select ?x0 where { SUBJ_1 dr:death_cause ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Посчитайте, какая средняя площадь места, в котором развивается сюжет Овод?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Сколько проживает человек, в месте, где родился Стржалковский Владимир Игоревич? 	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:population_count ?x0 . }
Сколько по времени существует государство, входящее в Высочайший манифест 17 октября 1905 Об усовершенствовании государственного порядка?	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
Длина реки Челтер Коба?	select distinct ?x0 where { SUBJ_1 dr:length ?x0 . }
Какая в сумме глубина водоема, располагавшем на себе остров Афганистан? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
Число стран, в чьий компенсации Унжа	select count ( distinct ?x0 ) where { SUBJ_1 dr:political_own ?x0 . }
Сколько родителей у Карр Сара Роуз?	select count ( distinct ?x0 ) where { ?x0 dr:child OBJ_1 . }
Что лежит у Рыбацкое исторический район?	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
Автор произведения Меч Предназначения и Думай и богатей?	select ?x0 where { ?x0 dr:wrote OBJ_1 . ?x0 dr:wrote OBJ_1 . }
Страна в которой находится Казанская область, масштаб ?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Каково количество работ с авторством Александр Михайлович Грановский?	select count ( distinct ?x0 ) where { SUBJ_1 dr:present_in_literary_work ?x0 . }
 Какое количество наименованийп по максимуму имеет самый лёгкий ислам?	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?dummy . ?dummy dr:alias ?x0 . }
Сколько в среднем существует страна, где географически расположен Трабзон?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
В реку какой протяжённости впадает Юность дворец спорта Челябинск?	select ?x0 where { SUBJ_1 dr:river_confluence ?dummy . ?dummy dr:length ?x0 . }
Дата смерти русского мореплавателя, первооткрывателя Таганский парк Москва?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_date ?x0 . }
Как называется город в котором родился Бо Силай	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:iscapitalof ?x0 . }
Боба Фетт главным героем какого произведения является?	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Сколько в среднем лет стране, в которой была написана книга Ветра зимы?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:period_country ?x0 . }
Какая суммарная плотность населения государства, гражданином которой является Сара Мишель Геллар?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
Какой логотип у продуктов от Татнефть? 	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
Место в котором расположен Китайгородский проезд, сколько по минимуму длина? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
Человек, творчество которого вдохновляло Мария Александровна, во сколько лет умер? 	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
Какое лого у компании, основавшей Redmond?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:company_logo ?x0 . }
Глубина водоема на территории которого расположена Кабо Верде	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
времясуществования страны, на территории которой расположен центральный офис Газпромбанк?	select ?x0 where { SUBJ_1 dr:company_hq_location ?dummy . ?dummy dr:period_country ?x0 . }
Начало жизни первого правителя Казахстан.	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:birth_day ?x0 . }
Оскар Бентон сейчас в городе с какой суммарной площадью 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Кто является владельцем Ace of Base?	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
Какое на самом деле имя, полное и настоящее, у человека, открывшего алтаит?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:real_full_name ?x0 . }
В скольких стилях выступал человек, которым была вдохновлена Андрей Ольгердович?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Какие границы у Нидерланды	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Какие объекты находятся рядом Лосиноостровская?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
 Какое количество наименованийп по максимуму имеет самый лёгкий философия?	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?dummy . ?dummy dr:alias ?x0 . }
Сколько времени минимум уходит на просмотр фильма, в котором режиссер и актер одновременно Кэтрин Уинник?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Какое название имеет группа химических элементов включающая элемент названный в честь Памятник Петру I Михайловский замок?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:group ?x0 . }
Страна омываемая водами Самарская Лука? 	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
Часовня РозерDUMMY находится  в юрисдикции некой страны. Назовите общую длину границы этой страны?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Сколько долларов отпущено на фильм, где режиссёром и актёром являлся Томазо Джованни Альбинони? 	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2130 ?x0 . }
В сколько лет умер автор книги История одного города?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:death_age ?x0 . }
Какая суммарная площадь в городе,где сейчас находится Никонов Ефим Прокопьевич 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Самая большая ширина там где Суйфыньхэ 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Сколько квадратных метров занимает страна, в чьей юрисдикции находится Netflix?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Сколько ребенок Франциск III написала работ	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:count_works ?x0 . }
площадь места сюжета Евгений Онегин?	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:area ?x0 . }
Дата смерти родителей Макинтайр Аласдер?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:death_date ?x0 . }
Сколько ориентировочно составляет рейтинг на сайте кинопоиска у фильма Мартин Вискарра?	select distinct ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy dr:haskinopoiskrating ?x0 . } order by desc ( ?x0 )
Автором скольких произведений является Кононенко Максим Витальевич?	select count ( distinct ?x0 ) where { SUBJ_1 dr:composed ?x0 . }
Имеет ли супругу в данный момент создатель Чудов монастырь?	select ?x0 where { SUBJ_1 dr:author ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Сколько всего притоков у Остров Завьялова?	select count ( distinct ?x0 ) where { SUBJ_1 dr:river_inflows ?x0 . }
На директоре Министерство внутренних дел Российской Федерации женаты?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Много ли по ширине составляет страна, в юрисдикции которой находится Уфимское плато?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:width ?x0 . }
Родственник Жиганшин Руслан Наильевич в каком возрасте умер долгожитель этой династии	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:death_age ?x0 . }
В каком количестве альянсов состоит Китайская Республика Тайвань?	select count ( distinct ?x0 ) where { ?x0 dr:parts_alliance OBJ_1 . }
Родственница Илья Григорьевич Чавчавадзе в браке?	select ?x0 where { SUBJ_1 dr:relative ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
список книг о стране Оз жанр ?	select distinct ?x0 where { ?x0 dr:present_in_literary_work OBJ_1 . }
Каково наименьшее значение длины границ у страны, ближе всех находящейся к Колония Оранжевой реки?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Когда основали страну, в которой находится Михайловский?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Назовите автора  произведение Последний бой песня?	select distinct ?x0 where { ?x0 dr:composed OBJ_1 . }
Климатический пояс Швейцария	select distinct ?x0 where { SUBJ_1 dr:climate ?x0 . }
Длина какой величины границ страны, в юрисдикции которой находится МелеховоDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Популяция  Сьерра Леоне?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
Какой срок существования страны,в которой была написана книга Государство?	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:period_country ?x0 . }
Покажи все псевдонимы автора Любовь к трем цукербринам	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:pseudonym ?x0 . }
Какое количество псевдонимов имеет автор произведения Метро 2034?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:pseudonym ?x0 . }
Какая погода преобладает в Турция?	select distinct ?x0 where { SUBJ_1 dr:climate ?x0 . }
Каким числом можно охарактеризовать размер популяции места, где сейчас живёт Тармашев Сергей Сергеевич?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_count ?x0 . }
Назовите страну омываемую водами Луганский аэропорт?	select distinct ?x0 where { ?x0 dr:wash OBJ_1 . }
Город, где родился Майкл Газзанига и сколько человек там живёт?	select ?x0 where { SUBJ_1 dr:birth_place ?dummy . ?dummy dr:population_count ?x0 . }
Аксумский обелиск сколько в ширину в среднем 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
Какое полное настоящее имя у человека, основавшего компанию EPAM Systems?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:real_full_name ?x0 . }
Какая минимум глубина водоема, омывающего Великобритания?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Какой максимальный показатель площади страны, являющейся родиной Куратов Иван Алексеевич?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Как давно основана страна, в которой расположен Абазиния?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
Какой географический объект находится ближе всего к месту , где обучалась Филипп II Август	select ?x0 where { SUBJ_1 dr:education ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Волкодав какие использованы размеры стиха ?	select distinct ?x0 where { ?x0 dr:present_in_literary_work OBJ_1 . }
 Какая максимальная длина границ у страны, к которой ближе всего расположен Вокзальная?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Сколько протяженность границы страны, где расположены Балеарские острова?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Максимальная длина места, в котором расположен Литературно мемориальный музей Ф М Достоевского, какая? 	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:length ?x0 . }
В каком году произошло основание государства, в котором Азербайджанская государственная филармония является столицей?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Отец Наталья Мирчевна Герман женат или нет?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Какое произведение создал Никита Борисович Куконенко?	select distinct ?x0 where { ?x0 dr:hasauthor OBJ_1 . }
Когда началась творческая деятельность ребенка Кэннон Дайан	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:work_period_start ?x0 . }
Автор книги, в которой присутствует персонаж Худяков Павел Константинович	select ?x0 where { SUBJ_1 dr:present_in_literary_work ?dummy . ?dummy dr:author ?x0 . }
Как много написал Уильям Питт младший?	select count ( distinct ?x0 ) where { ?x0 dr:hasauthor OBJ_1 . }
Страна в которой была создана компания Пограничная служба Федеральной службы безопасности Российской Федерации, сколько ей лет?	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:period_country ?x0 . }
Страна,  гражданином которой является Иясу V, когда была открыта?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:date_country_foundation ?x0 . }
Какова средняя валентность элемента, который является основным компонентом миндальное масло?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Какая максимальная населенность жителей в стране, гражданин которой Веремий Вячеслав Васильевич? 	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
В юрисдикции скольких стран Резиденция Президента Казахстана находится	select count ( distinct ?x0 ) where { SUBJ_1 dr:political_own ?x0 . }
Откуда родом автор Малахитовая шкатулка	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:native_country ?x0 . }
Какова общая сумма логотипов у компании, владеющей Mojang Studios?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Какова общая высота над уровнем моря у места, в котором в текущий момент живёт Александр Гамильтон	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Как много детей имеется у Серратос Кристиан?	select distinct ?x0 where { SUBJ_1 wdt:p1971 ?x0 . }
Джинкс главный герой какого произведения 	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Сколько составляет минимальный показатель валентности элемента, который является основным компонентом PA 824?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Как зовут музыканта, который написал Белые ночи и Бытие и время?	select ?x0 where { ?x0 dr:wrote OBJ_1 . ?x0 dr:wrote OBJ_1 . }
"""Когда произошёл распад страны, давшей миру произведение """"Стоглав""""?"""	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:date_country_end ?x0 . }
Когда выпустили фильм Мать?	select distinct ?x0 where { SUBJ_1 dr:publication_date ?x0 . }
Какая страна родина Василий Васильевич Бурба?	select distinct ?x0 where { SUBJ_1 dr:native_country ?x0 . }
Сколько  лет было умершему  родственнику Александр Богданович Карлин?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:death_age ?x0 . }
Название химического элемента названного в честь Писек 	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Город Валькумей,высота над уровнем моря	select distinct ?x0 where { SUBJ_1 dr:elevation ?x0 . }
Средняя плотность страны, где находится Восточная марка? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Хохлова Яна Вадимовна в настоящий момент где живет?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Как много компаний было создано в Нитранское княжество?	select count ( distinct ?x0 ) where { ?x0 dr:company_inception_place OBJ_1 . }
Назовите химический класс вещества цианид никеля II?	select distinct ?x0 where { ?x0 dr:heaviest OBJ_1 . }
У всех членов совета директоров компании Веб программирование есть семьи?	select ?x0 where { SUBJ_1 dr:company_boardmembers ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Сколько километров в общей сумме занимает Драхенбург? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:width ?x0 . }
В каком альянсе участвует Проспект Энергетиков? 	select distinct ?x0 where { ?x0 dr:parts_alliance OBJ_1 . }
Человек, вдохновивший Владимир Борисович Габулов, в каком количестве музыкальных жанров выступал?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
Какое минимальная численность населения на 1 км квадратный в родном городе Ретен Текла?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:population_density ?x0 . }
Какой размер популяции в месте Одесский академический театр музыкальной комедии?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_count ?x0 . }
Насколько много лет было умершему человеку, которым был вдохновлен Когогин Сергей Анатольевич?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
сколько должна быть валентность элемента, являющегося основным компонентом Аллофан?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Сколько по времени идет фильм, в котором режиссёром и актёром одновременно был Эма Хорват?	select ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy wdt:p2047 ?x0 . }
Какое количество владельцев в Фрайкор?	select count ( distinct ?x0 ) where { ?x0 dr:company_owner OBJ_1 . }
Какая минимальная оценка на сайте кинопоиска у фильма Малкин Анатолий Григорьевич?	select distinct ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy dr:haskinopoiskrating ?x0 . } order by desc ( ?x0 )
Как давно основана страна, в которой расположен Московский метрополитен?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:period_country ?x0 . }
Какие вообще всего писал произведения Роттер Джулиан?	select distinct ?x0 where { ?x0 dr:hasauthor OBJ_1 . }
Когда появился на свет автор, создавший персонажа Гэндальф?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:birth_day ?x0 . }
сколько должна быть валентность элемента, являющегося основным компонентом бромид европия III?	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:valence ?x0 . }
Возраст страны, в которой компания геополитика была создана?	select ?x0 where { SUBJ_1 dr:company_inception_place ?dummy . ?dummy dr:period_country ?x0 . }
Каково среднее арифметическое число количества логотипов у компании, которая владеет HyperX?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Какая плотность населения в месте, где расположен Казахстан?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
В какое время первый правитель Афганистан?	select ?x0 where { SUBJ_1 dr:first_ruler ?dummy . ?dummy dr:birth_day ?x0 . }
Когда умерли родители Вуячич Виктор Лукьянович?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:death_date ?x0 . }
в каком году родился создатель Храм Геркулеса	select ?x0 where { SUBJ_1 dr:author ?dummy . ?dummy dr:birth_day ?x0 . }
глава  A24	select distinct ?x0 where { ?x0 dr:company_owner OBJ_1 . }
У какой речки притоки Ивангородская крепость Польша и Павлодарская ТЭЦ 3?	select ?x0 where { ?x0 dr:river_inflows OBJ_1 . ?x0 dr:river_inflows OBJ_1 . }
 Какая средняя глубина водоемов, которые омывают  Израиль?	select ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:depth ?x0 . }
Какой псевдоним у мужа Кевин Поллак в твиттере?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy dr:twitter ?x0 . }
А была ли кличка к родственника Жиль Вильнев, и какая?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:nickname ?x0 . }
Кто являются родителями Останина Нина Александровна?	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
